Occode	Level1	Level2	Level3
-1	BLANK	BLANK	BLANK
1	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"POST OFFICE - TELEGRAPHISTS, TELEPHONE OPERATORS"
2	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	OTHER POST OFFICE OFFICERS AND CLERKS
3	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	POSTMEN
4	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"POST OFFICE MESSENGERS, ETC"
5	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"MPs, MINISTERS OF THE CROWN & PEERS"
6	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	OTHER CIVIL SERVICE OFFICERS AND CLERKS
7	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	PRISON OFFICERS
8	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	SENIOR OFFIALS AND OTHERS IN EAST INDIA SERVICE
9	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"OTHER CIVIL SERVICE MESSENGERS, ETC. (INC PORTERS),"
10	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	NATIONAL GOVERNMENT	"PRISON SERVICE MESSENGERS, ETC.,"
11	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	POLICE
12	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	POOR LAW SERVICE
13	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	"MUNICIPAL, PARISH, AND OTHER LOCAL OR COUNTY OFFICERS"
14	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	"MUNICIPAL, PARISH, AND  LOCAL OR COUNTY SHERIFFS AND CLERKS"
15	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	"MUNICIPAL, PARISH, AND OTHER LOCAL OR COUNTY WORKERS"
16	PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY	LOCAL GOVERNMENT	LIBRARIANS
17	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	ARMY OFFICERS (EFFECTIVE)
18	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	MILITIA & YEOMANRY OFFICERS (EFFECTIVE)
19	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	ARMY OFFICERS (RETIRED)
20	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	ARMY (AT HOME)	SOLDIERS AND NON-COMMISSIONED OFFICERS
21	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	MILITIA & YEOMANRY MEN
22	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	OFFICERS OF THE NAVY (EFFECTIVE)
23	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	OFFICERS OF THE NAVY (RETIRED)
24	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	MEN OF THE NAVY (INC COASTGUARDS)
25	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	OFFICERS OF THE MARINES (EFFECTIVE)
26	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	OFFICERS OF THE MARINES (RETIRED)
27	PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY	NAVY AND MARINES (ASHORE AND IN PORT)	MEN OF THE MARINES
28	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"CLERGYMAN OF THE ESTABLISHED CHURCH  (CHURCH OF ENGLAND IN ENGLAND AND WALES, CHURCH OF SCOTLAND IN SCOTLAND) "
29	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	ROMAN CATHOLIC PRIEST
30	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"MINISTER, PRIEST, OF UNITED FREE CHURCH"
31	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"MINISTER, PRIEST, OF EPISCOPALIAN CHURCH IN SCOTLAND"
32	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"MINISTER, PRIEST, OF UNITED PRESBYTERIAN CHURCH"
33	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"MINISTER, PRIEST, OF OTHER RELIGIOUS BODIES"
34	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"ITINERANT PREACHER, SCRIPTURE READER, MISSION WORKER"
35	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	MONKS
36	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"NUN, SISTER OF CHARITY"
37	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	CLERICAL	"CHURCH, CHAPEL, CEMETERY--OFFICER, ETC."
38	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	LEGAL	"BARRISTER, ADVOCATE"
39	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	LEGAL	SOLICITOR
40	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	LEGAL	LAW CLERK
41	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	LEGAL	OTHERS CONNECTED WITH LAW
42	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	"PHYSICIAN, SUGEON, REGISTERED PRACTITIONER, INCLUDING POOR LAW HOSPITALS DOCTORS ETC"
43	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	DENTISTS AND DENTISTS ASSISTANTS
44	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	VETERINARY SURGEONS
45	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	MIDWIVES
46	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	NURSES (MEDICAL NOT DOMESTIC) INCLUDING POOR LAW NURSES
47	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	HOSPITAL SICK NURSES
48	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	MEDICAL ASSISTANTS
49	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	SUBORDINATE MEDICAL SERVICE (UNQUALIFIED) AND MEDICAL SERVICES - GENERAL
50	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	HOSPITAL WORKERS GENERAL - DEFAULT
51	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	MEDICAL	HOSPITAL MEDICAL SERVICE
52	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	TEACHING	SCHOOLMASTERS AND TEACHERS (DEFAULT)
53	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	TEACHING	UNIVERSITY TEACHERS
54	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	TEACHING	SCHOOL SERVICE (PUPIL TEACHERS)
55	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	TEACHING	"OTHERS CONNECTED WITH EDUCATION - SCHOOL SERVICE GENERAL, ATTENDANTS, CLERKS, ETC"
56	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	AUTHORS EDITORS JOURNALISTS AND CREATIVE ADVERTISING WORKERS
57	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	REPORTERS AND SHORTHAND WRITERS
58	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	OTHERS IN WRITING
59	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	ENGAGED IN SCIENTIFIC PURSUITS (INC INVENTORS AND SCIENTIFIC QUALIFIERS)
60	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	OTHERS SCIENTIFIC
61	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	"OTHERS CONNECTED WITH LITERATURE, ETC - LITERARY & SCIENTIFIC INSTITUTION SERVICE"
62	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	"OTHERS CONNECTED WITH LITERATURE, ETC - POLITICAL & ELECTION AGENTS"
63	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"LITERARY, SCIENTIFIC, AND POLITICAL"	"LIBRARIANS (LITERARY, SCIENTIFIC SOCIETY)"
64	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	ENGINEERS AND SURVEYORS	MINING ENGINEERS
65	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	ENGINEERS AND SURVEYORS	CIVIL ENGINEERS
66	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	ENGINEERS AND SURVEYORS	"LAND, HOUSE, SHIP--SURVEYOR"
67	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	ENGINEERS AND SURVEYORS	MINING ENGINEERS ASSISTANT
68	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	ENGINEERS AND SURVEYORS	CIVIL ENGINEERS ASSISTANTS
69	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	ENGINEERS AND SURVEYORS	SURVEYORS ASSISTANT
70	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	PAINTERS (ARTISTS)
71	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	SCULPTORS (ARTISTS)
72	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	ARCHITECTS
73	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	ENGRAVERS (ARTISTS) AND LITHOGRAPHIC ARTISTS
74	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	MAP CHART GEOGRAPHICAL ENGRAVERS
75	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	PHOTOGRAPHERS
76	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)"
77	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	ACTORS
78	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	ARCHITECTS ASSISTANTS
79	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"ART, MUSIC, DRAMA"	"ART, MUSIC, THEATRE, CINEMA - SERVICE ETC"
80	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"EXHIBITIONS, GAMES, ETC."	PERFORMERS SHOWMEN EXHIBITION SERVICE
81	PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES	"EXHIBITIONS, GAMES, ETC."	BILLIARDS CRICKET AND OTHER GAMES SERVICE
82	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	DOMESTIC INDOOR SERVICE	"DOMESTIC INDOOR SERVANTS IN HOTELS, LODGING HOUSES AND EATING HOUSES"
83	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	DOMESTIC INDOOR SERVICE	OTHER DOMESTIC INDOOR SERVANTS -- GOVERNESSES
84	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	DOMESTIC INDOOR SERVICE	OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED
85	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	DOMESTIC OUTDOOR SERVICE	DOMESTIC--COACHMAN 
86	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	DOMESTIC OUTDOOR SERVICE	"DOMESTIC--MOTOR CAR DRIVER, MOTOR CAR ATTENDANT"
87	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	DOMESTIC OUTDOOR SERVICE	DOMESTIC GARDENER
88	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	DOMESTIC OUTDOOR SERVICE	GAMEKEEPER
89	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"ARMY COLLEGE, CLUB--SERVICE"
90	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"OTHER COLLEGE, CLUB--SERVICE"
91	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	PRISON OFFICERS (REFORMATORY SCHOOL)
92	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	PRISON SERVICE MESSENGERS ETC (REFORMATORY SCHOOL)
93	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"HOSPITAL, INSTITUTION (NOT POOR LAW), AND BENEVOLENT SOCIETY--SERVICE (NOT SICK NURSES, MEDICAL MEN, OR SCHOOLMASTERS)"
94	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"PARK, LODGE, GATE, ETC.--KEEPER (NOT GOVERNMENT)"
95	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	CHURCH CHAPEL CEMETERY CARETAKERS KEEPERS
96	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	HOSPITAL SERVANTS' REGISTRY OFFICE KEEPERS
97	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"CARETAKER, OFFICE KEEPERS (NOT GOVERNMENT) - SCHOOL CLEANERS,CARETAKERS"
98	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	COOKS (NOT DOMESTIC)
99	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	COOKS (COLLEGE: NON-RESIDENT)
100	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	COOKS (BOARDING LODGING HOUSE: NON-RESIDENT)
101	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	COOKS (DOMESTIC: NON-RESIDENT)
102	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"DAY GIRLS, DAY SERVANTS (OTHER INDOOR)"
103	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"DAY GIRLS, DAY SERVANTS (HOTELS LODGING EATING HOUSES)"
104	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	CHARWOMEN
105	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	"LAUNDRY WORKER: WASHER, IRONER, MANGLER, ETC. (NOT DOMESTIC)"
106	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	BATH AND WASH-HOUSE SERVICE
107	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	GOVERNESSES (DOMESTIC)(NON-RESIDENT)
108	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	SERVANTS - UNDEFINED (NON-RESIDENT)
109	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	OTHERS IN SERVICE
110	PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES	OTHER SERVICE	WINDOW CLEANERS
111	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	MERCHANT -- COMMODITY UNDEFINED
112	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	"BROKERS, FACTORS, COMMERCIAL AGENTS (NOT - MINE, QUARRY, INSURANCE)"
113	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	SALESMEN AND BUYERS (NOT OTHERWISE DESCRIBED)
114	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	COMMERCIAL TRAVELLERS AND MANUFACTURERS' AGENTS
115	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	ACCOUNTANTS
116	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	AUCTIONEERS APPRAISERS VALUERS HOUSE AGENTS
117	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	SURVEYORS (HOUSE AGENTS)
118	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	"MERCHANTS, AGENTS, AND ACCOUNTANTS"	OFFICERS OF COMMERCIAL AND OTHERS COMPANIES
119	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	COMMERCIAL OR BUSINESS CLERKS	COMMERCIAL OR BUSINESS CLERKS
120	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	DEALERS IN MONEY	BANKERS
121	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	DEALERS IN MONEY	"BANK SERVICE, BANK OFFICIALS AND CLERKS"
122	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	DEALERS IN MONEY	"BILL BROKERS, AGENTS AND DISCOUNTERS"
123	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	INSURANCE	INSURANCE OFFICIALS CLERKS
124	PERSONS ENGAGED IN COMMERICAL OCCUPATIONS	INSURANCE	INSURANCE AGENTS
125	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	"RAILWAY OFFICIAL - INSPECTORS, SUPERVISORS, CLERK"
126	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	"RAILWAY TICKET-EXAMINER, COLLECTOR, CHECKER"
127	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	RAILWAY ENGINE--DRIVER STOKER CLEANER
128	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	RAILWAY GUARD
129	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	SIGNALMAN
130	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	"POINTSMAN, LEVEL CROSSING MAN, GATEKEEPERS"
131	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	"PLATELAYER, GANGER, PACKER"
132	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	RAILWAY LABOURER (NOT RAILWAY CONTRACTOR'S LABOURER)
133	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	RAILWAY PORTER
134	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON RAILWAYS	OTHER RAILWAY SERVANTS
135	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	"LIVERY STABLE KEEPERS, CAB AND BUS OWNERS"
136	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	"HORSE PROPRIETOR, BREEDER, DEALER"
137	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	"MOTOR GARAGE ---PROPRIETOR, WORKER"
138	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	COACHMAN (NOT DOMESTIC): CABMAN
139	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)"
140	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	MOTOR CAR DRIVER (NOT DOMESTIC); MOTOR CAB DRIVER
141	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	CARMEN CARRIERS CARTERS AND DRAYMEN
142	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	HAULIERS (MINE)
143	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	WATER CARRIERS
144	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	MOTOR VAN ETC. DRIVERS
145	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	"VAN, ETC.---GUARD, BOY"
146	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	OTHERS CONNECTED WITH CARRIAGE/CARTAGE (NOT MINE)
147	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	OTHERS CONNECTED WITH CARRIAGE/CARTAGE (MINE)
148	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	OMNIBUS HORSE DRIVERS (DEFAULT)
149	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	OMNIBUS MOTOR DRIVERS
150	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	OMNIBUS CONDUCTORS
151	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	OMNIBUS SERVICE --OTHERS
152	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	TRAMWAY SERVICE DRIVERS
153	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	TRAMWAY SERVICE CONDUCTORS
154	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	TRAMWAY SERVICE ---OTHERS
155	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	OTHERS ON  ROADS -- TOLL COLLECTORS
156	"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"	ON ROADS	"OTHERS ON  ROADS -- WHEELCHAIR PROPRIETORS, ATTENDANTS"
